population_label,population,profile,size,effective_size,min_size,threshold,two_t_le_n,dual_sign_possible,partition_split_ratio,regime,online_rate,p_dual_sign,method
healthy_floor,150,mainnet_400_4_3,400,150,4,3,True,True,0.5,quiet,0.92,1.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,mainnet_400_4_3,400,150,4,3,True,True,0.5,cascade,0.6,1.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,mainnet_400_4_3,400,150,4,3,True,True,0.6,quiet,0.92,1.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,mainnet_400_4_3,400,150,4,3,True,True,0.6,cascade,0.6,1.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,mainnet_400_4_3,400,150,4,3,True,True,0.7,quiet,0.92,1.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,mainnet_400_4_3,400,150,4,3,True,True,0.7,cascade,0.6,1.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,q25_22_17,25,25,22,17,False,False,0.5,quiet,0.92,0.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,q25_22_17,25,25,22,17,False,False,0.5,cascade,0.6,0.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,q25_22_17,25,25,22,17,False,False,0.6,quiet,0.92,0.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,q25_22_17,25,25,22,17,False,False,0.6,cascade,0.6,0.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,q25_22_17,25,25,22,17,False,False,0.7,quiet,0.92,0.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,q25_22_17,25,25,22,17,False,False,0.7,cascade,0.6,0.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,q60_44_41,60,60,44,41,False,False,0.5,quiet,0.92,0.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,q60_44_41,60,60,44,41,False,False,0.5,cascade,0.6,0.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,q60_44_41,60,60,44,41,False,False,0.6,quiet,0.92,0.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,q60_44_41,60,60,44,41,False,False,0.6,cascade,0.6,0.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,q60_44_41,60,60,44,41,False,False,0.7,quiet,0.92,0.000000e+00,exact_trinomial_or_impossibility_bound
healthy_floor,150,q60_44_41,60,60,44,41,False,False,0.7,cascade,0.6,0.000000e+00,exact_trinomial_or_impossibility_bound
observed_low,76,mainnet_400_4_3,400,76,4,3,True,True,0.5,quiet,0.92,1.000000e+00,exact_trinomial_or_impossibility_bound
observed_low,76,mainnet_400_4_3,400,76,4,3,True,True,0.5,cascade,0.6,1.000000e+00,exact_trinomial_or_impossibility_bound
observed_low,76,mainnet_400_4_3,400,76,4,3,True,True,0.6,quiet,0.92,1.000000e+00,exact_trinomial_or_impossibility_bound
observed_low,76,mainnet_400_4_3,400,76,4,3,True,True,0.6,cascade,0.6,9.999997e-01,exact_trinomial_or_impossibility_bound
observed_low,76,mainnet_400_4_3,400,76,4,3,True,True,0.7,quiet,0.92,1.000000e+00,exact_trinomial_or_impossibility_bound
observed_low,76,mainnet_400_4_3,400,76,4,3,True,True,0.7,cascade,0.6,9.999563e-01,exact_trinomial_or_impossibility_bound
observed_low,76,q25_22_17,25,25,22,17,False,False,0.5,quiet,0.92,0.000000e+00,exact_trinomial_or_impossibility_bound
observed_low,76,q25_22_17,25,25,22,17,False,False,0.5,cascade,0.6,0.000000e+00,exact_trinomial_or_impossibility_bound
observed_low,76,q25_22_17,25,25,22,17,False,False,0.6,quiet,0.92,0.000000e+00,exact_trinomial_or_impossibility_bound
observed_low,76,q25_22_17,25,25,22,17,False,False,0.6,cascade,0.6,0.000000e+00,exact_trinomial_or_impossibility_bound
observed_low,76,q25_22_17,25,25,22,17,False,False,0.7,quiet,0.92,0.000000e+00,exact_trinomial_or_impossibility_bound
observed_low,76,q25_22_17,25,25,22,17,False,False,0.7,cascade,0.6,0.000000e+00,exact_trinomial_or_impossibility_bound
observed_low,76,q60_44_41,60,60,44,41,False,False,0.5,quiet,0.92,0.000000e+00,exact_trinomial_or_impossibility_bound
observed_low,76,q60_44_41,60,60,44,41,False,False,0.5,cascade,0.6,0.000000e+00,exact_trinomial_or_impossibility_bound
observed_low,76,q60_44_41,60,60,44,41,False,False,0.6,quiet,0.92,0.000000e+00,exact_trinomial_or_impossibility_bound
observed_low,76,q60_44_41,60,60,44,41,False,False,0.6,cascade,0.6,0.000000e+00,exact_trinomial_or_impossibility_bound
observed_low,76,q60_44_41,60,60,44,41,False,False,0.7,quiet,0.92,0.000000e+00,exact_trinomial_or_impossibility_bound
observed_low,76,q60_44_41,60,60,44,41,False,False,0.7,cascade,0.6,0.000000e+00,exact_trinomial_or_impossibility_bound
