population,controlled_requested_percent,profile,samples,proposal_odds_multiplier,targeted_event_count,importance_estimate,importance_95_low,importance_95_high,effective_sample_size,exact_probability,relative_error_vs_exact,estimate_kind
150,10,q25_22_17,20000,20.999999999999996,0,0.0,0.0,0.0,1.2776302183159405,0,,modeled_importance_sampling
150,10,q60_44_41,20000,20.189189189189186,0,0.0,0.0,0.0,1.961620758752052,0,,modeled_importance_sampling
150,20,q25_22_17,20000,9.333333333333332,7428,5.384471821300768e-09,5.206708041613389e-09,5.562235600988147e-09,10.55343717500931,5.4169304217792769809120841404427303648804273746181794911914830177536391437404876E-9,-0.005992065238277038,modeled_importance_sampling
150,20,q60_44_41,20000,8.972972972972972,0,0.0,0.0,0.0,6.603160027840868,0,,modeled_importance_sampling
150,25,q25_22_17,20000,6.877192982456138,9276,7.5585267834644e-07,7.34340857983409e-07,7.773644987094709e-07,3.9432242227877734,7.6622339864232813939492827581065756381205432974893905440475759771064543775954808E-7,-0.013534851995206655,modeled_importance_sampling
150,25,q60_44_41,20000,6.61166429587482,0,0.0,0.0,0.0,1.6302833649604465,0,,modeled_importance_sampling
150,30,q25_22_17,20000,5.444444444444444,10299,1.7648343035548176e-05,1.7186587701784348e-05,1.8110098369312005e-05,2.859602246661102,0.000017933382920607810769204685385175301642198023383189828119127198467799371370810347,-0.015894373433139965,modeled_importance_sampling
150,30,q60_44_41,20000,5.234234234234234,105,1.3254214262939124e-17,7.912356325856584e-18,1.8596072200021664e-17,1.3097813615859037,1.2079408431587315139284408577258520986075502534513494199312086568958052648899275E-17,0.09725690111443905,modeled_importance_sampling
150,33.33,q25_22_17,20000,4.666666666666667,10949,0.00010994815284728466,0.00010721484019933473,0.00011268146549523459,11.590466423249538,0.00011048215628105900114795451090230956102510463663863046144696942216042744991406649,-0.00483339076416895,modeled_importance_sampling
150,33.33,q60_44_41,20000,4.486486486486487,592,7.84527752664661e-14,6.66437807452969e-14,9.026176978763531e-14,4.076672098373209,7.5456558611704195859926567260633823542308316570258322805772634088555581952151743E-14,0.039707836003763305,modeled_importance_sampling
150,35,q25_22_17,20000,4.270440251572327,11226,0.0002933345442920678,0.0002863095132448392,0.00030035957533929643,28.171405220937068,0.00028782554092730851121545063117882672282378669170639884252112930663312148803907946,0.019140078211997903,modeled_importance_sampling
150,35,q60_44_41,20000,4.105558388577257,1117,4.44421754526245e-12,3.973170930565173e-12,4.915264159959728e-12,11.746729970830266,4.3247282086039255000458956623911199568308443065020199752135865370041597906469653E-12,0.027629328571632274,modeled_importance_sampling
150,40,q25_22_17,20000,3.499999999999999,11693,0.0019492720896058945,0.0019054265910109795,0.0019931175882008092,30.329618696644328,0.0019630540783444351890136140953482169186622558730202121426814071880168017307227464,-0.007020687249820388,modeled_importance_sampling
150,40,q60_44_41,20000,3.364864864864864,2731,7.494046017011106e-09,7.030312700156358e-09,7.957779333865853e-09,9.780742196423189,7.1983207923616411145639367096285049155478713486234555991930755699309737828986290E-9,0.041082529270335934,modeled_importance_sampling
150,45,q25_22_17,20000,2.813725490196078,12068,0.011599533192927907,0.011365553232048698,0.011833513153807115,277.27688430177733,0.011396953921437209548757567517782400794262500753763799166430957840693393585281499,0.0177748609748833,modeled_importance_sampling
