profile,population,online_rate,trials,median_blocks,median_hours,p90_blocks,p90_hours,capped_fraction
current_400_4_3,150,0.92,4000,216.0,9.0,216,9.0,0.0
current_400_4_3,300,0.92,4000,144.0,6.0,144,6.0,0.0
current_400_4_3,500,0.92,4000,144.0,6.0,288,12.0,0.0
current_400_4_3,1000,0.92,4000,288.0,12.0,720,30.0,0.0
q60_44_41,150,0.92,4000,1296.0,54.0,3816,159.0,0.0
q60_44_41,300,0.92,4000,1368.0,57.0,4320,180.0,0.0
q60_44_41,500,0.92,4000,2160.0,90.0,7272,303.0,0.0
q60_44_41,1000,0.92,4000,4320.0,180.0,13824,576.0,0.006
q60_L1_hourly_dkg,150,0.92,4000,120.0,5.0,312,13.0,0.0
q60_L1_hourly_dkg,300,0.92,4000,240.0,10.0,648,27.0,0.0
q60_L1_hourly_dkg,500,0.92,4000,408.0,17.0,1128,47.0,0.0
q60_L1_hourly_dkg,1000,0.92,4000,792.0,33.0,2232,93.0,0.0
q60_L2_probe_2h,150,0.92,4000,96.0,4.0,96,4.0,0.0
q60_L2_probe_2h,300,0.92,4000,96.0,4.0,96,4.0,0.0
q60_L2_probe_2h,500,0.92,4000,96.0,4.0,96,4.0,0.0
q60_L2_probe_2h,1000,0.92,4000,96.0,4.0,96,4.0,0.0
